,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOEPY3MsFd4oNCaLrOlEH-vduWS1lUw_bCq2kGISjPASoRtWzBe6l_uUvLmMV1Z5hmDJlwOpksZTsQtQMW0,Adnan -ul-Haq,https://play-lh.googleusercontent.com/a-/AOh14Gi0o-beQzPGGdCPQszU1z9BxZpT1Qpo2pnSaVX-Ug,"Only restaurants option is available and too with very limited food placrs. There is no other option like grocery and medicines. Approximately in the month of January 2021, i placed an order at some restaurant, after waiting for an hour, my order was cancelled by the restaurant. As I had paid in advance an amount of Rs. 1,299/- , that amound was refunded to me in my wallet. As now there are no options of grocery or medicine, i dont know how to get my money back. I dont want to try food any more.",1,12,3.12.4,2021-08-07 12:18:40,Hey Adnan. Please accept our sincere apologies. Please note that the delivery services are available in Lahore only. Can you please update the order details here or contact us at info@cheetay.pk so that we can have a look into this right away?,2021-08-09 09:32:55
1,gp:AOqpTOHCdFOs9elDZ_5bDHScSTq3uuVMRDSlVjKgXp3MsrtomdQFwX3MbHNX6JmuNQ3eBvq8fagjRVi-uzQTabg,Qadeer Sethi,https://play-lh.googleusercontent.com/a/AATXAJzPUagqy8KgSU-0FYLZNv4Ku8q0_OW6H4bQeQaC=mo,"Worst food service provider with zero control over the restaurants. Fake deals, false deliveries. Poor telephonic customer service, never picks up phone. Overall very bad experience while using this app. Disappointed!",1,3,3.12.4,2021-08-07 17:51:41,Hi Qadeer. Please accept our sincere apologies. Can you please update the order details here or contact us at info@cheetay.pk so that we can have a look into this right away?,2021-08-09 09:36:10
2,gp:AOqpTOFIhqUSVTm2rJ-OX-stDvy4iNEdHTR1F-HF2AXN-4wJYYSoiVgUmJ35yKaSlgIKNYPiqu9i5u_5rJwPrv8,Muhammad Umer,https://play-lh.googleusercontent.com/a-/AOh14GhmH0-cTKRb4hzcVfhvf3V7cIcwj4gkGKED1OTaBA,"When I tried to order from the restaurant that appeared on the home screen that says those visible hear deliver at your location, just in a while I fulfilled the detials and clicked on place the order option, the error popped up that it doesn't deliver at your location. However when I placed the order from foodpanda, it delivered the food at my location within the time span. You people really need to check the Coverage of your restaurants because that restaurant was not that far away",4,111,3.12.2,2021-07-25 12:26:46,"Hi Umer, a message is shown at the top of your screen stating that ""This restaurant doesn't deliver in your area"", if any particular restaurant doesn't offer services in your area. However, please keep visiting our Facebook page as we continue to expand our services.",2021-07-26 05:02:51
3,gp:AOqpTOFnvkcWmPuU0yA4YTIbvwzoUrlb2Lph8NYnmtA4Vv7Yg_SM8_RsXJLTT91A65ppb39NfHNmoTFp48ixEBM,Shabina Kanwal,https://play-lh.googleusercontent.com/a-/AOh14Ggip4SWLopMpWy8m1nCDACck3VwxAGPzeHQpLnlcw,This app is the best. I absolutely love it. It has a variety of everything... And the delivery service is alsa great.,5,0,3.12.4,2021-08-07 12:07:06,Hi Shabina. We would like to thank you for using our online shopping platform.,2021-08-09 09:31:08
4,gp:AOqpTOG1sjrat_Q6N5H7SLYrQcIJo9LdINFjC6NKsAgO_1EUBQtB0sc_Iv_n0EAOYdca6In2NLU9ePH2XRVettY,Muhammad Ashraf,https://play-lh.googleusercontent.com/a-/AOh14GgMu8mAPHRzpVrLUAgsORJXM_d08VsD_wNbsO8k5Q,Very bad experience to order on this app...much delay from target time ...in an hour...and no link to contact with rider to ask about delay as compare to other online delivery app...try to contact on chat system with representative it also irritating for wait in queue which prolong up to 30 minutes more....what a bad experience,1,46,3.12.2,2021-07-28 19:57:07,"Hi Ashraf, please accept our sincere apologies. Can you send us your order ID at info@cheetay.pk so that we can have a look into this right away?",2021-07-29 10:49:21
5,gp:AOqpTOGbTm61z20m7P2cBTUQNQC6E04dm7Yv1N4UtPXldSFPDMRQfnlJDUqe2z7OB2uzLrJjx0dycLPlgMbCvSE,Parsa Hashim,https://play-lh.googleusercontent.com/a-/AOh14Gjvk8QfuSeBaa6SfgHUC4jqSHHjyJWlgRUdpvz5hw,"Edit: NO THIS APP DEFINITELY DOESN'T AUTO UPDATE YOUR LOCATION. IT REQUIRES YOU TO DO SO MANUALLY. Thie app doesn't auto update your location like foodpanda and airlift do. The live tracker is flawed. Their riders are liars. They don't provide an order cancelation option incase of a mistaken order or unwanted rider. And their customer service is poor, their provide full immunity to misbehaving staff members. Use only if you have no other option.",1,6,3.12.3,2021-08-03 10:27:50,Hey Parsa. Kindly note that your location can be updated automatically. We understand this can be frustrating. We would appreciate it if you could send us the details of your issues at info@cheetay.pk.,2021-08-03 07:44:17
6,gp:AOqpTOHaolTE3f7gCsU8dM23yuKTTOXCVSLevU4mm1kCnWOaobpuwXX3Ui_07Y3RGVqR-BFN3YtxaHgECoYWtD8,Hassan Nazir,https://play-lh.googleusercontent.com/a-/AOh14Gglc48Ap2Udb8VdJSR0DJWD6rWa-y7dRZneSLL3xw,"App works fine but the issue that there are some restaurants that are closer to me but they can't deliver to me and some are too far off like 40 minutes away but still are delivering in my area, i think its just a bug and hope it might get fixed soon.",4,15,3.12.2,2021-07-27 10:46:52,"Hey Hassan, kindly let us know your complete location along with the name of the restaurant you are ordering from, at info@cheetay.pk and we assure to get your issue checked at the earliest.",2021-07-27 11:31:52
7,gp:AOqpTOGXLTMTHHla-ifb4jy1xDhRBOQuMc56EkYuJ-A_sodUZjO9z0hKs8FyqLkExj8Yo6KiJisdqq4xLSpYqc0,Asif Talpur,https://play-lh.googleusercontent.com/a-/AOh14GiAlsaVsd6NJaAKysXoTX19eq99toHSLWHkKDWn7g,"The single most stupid ""slide to order"" key in existence bar none. You guys are loosing my purchases to your competitor just because your incompetent developers who can't figure out how to do basic coding. Your slide to order key NEVER works properly. I almost never review any apps, but I had to leave this here because it's just hilarious how long this is going on for.",1,12,3.12.2,2021-07-30 16:20:23,"Hi, we apologize for this. Please send us your concern at info@cheetay.pk along with the screenshot of the error you receive. This will be handled with utmost priority.",2021-08-02 11:18:19
8,gp:AOqpTOFWpSsX95IrRCSrIecFC8zZNh30keQb_0bZ_TK5Rf8ZYul6q_08IB81Ok5aZdzsg1PRxcqU7ExpLbNF2zQ,Murtaza Naveed,https://play-lh.googleusercontent.com/a-/AOh14GiTNX7DkfdH_HyHwBQS40Pz2gg_Q4Us5Ab8YPzS,"What happened to my feedback?? It is really sad to see riders of this app suffering from poor coding which takes them to wrong location and no one hears them out. The app is good but when it takes riders to reach more then 1 hour to your home, its of no use to me. They are always lost and they have no way to contact you from their app version to yours. Take some good things from food panda and chezious.",1,40,3.12.2,2021-07-26 05:37:16,"Hey Murtaza, can you please let us know the complete address of the restaurant you are ordering from along with your exact location at info@cheetay.pk and we will get your issue checked at the earliest.",2021-07-26 05:13:54
9,gp:AOqpTOFDo4wSTkv-LQ9LHJnoOrnvVvGe3xcgphMl_x5KUc94c0eS4Nq30P_6WEZx0B3E7FZ5m1alX2m87q0sweM,Syed Azhar Ali Shah,https://play-lh.googleusercontent.com/a/AATXAJyBMhOY7Q2qT9_9JXkPa5B5xzZxAn9Xaf5qTY8J=mo,"Very immature App. Deals seams costlier. Delivery charges are different for different restaurants and they are high. Only few restaurants are available on the App. Discount code shown in notification, but could not traced out or applied anywhere in the App. Pathetic experience and going to uninstall sooner.",2,15,3.12.2,2021-07-26 14:13:04,"Hi Azhar, delivery charges vary depending on the distance of the customer's location to that of the restaurant. Moreover, please share the promo code you are trying to apply along with the screenshot of the error received, at info@cheetay.pk
",2021-07-27 04:35:50
